Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,99.0,101.44999694824219,98.19999694824219,100.75,50857376,0,0
2020-07-02,100.75,102.94999694824219,100.4000015258789,101.55000305175781,48083736,0,0
2020-07-03,102.8499984741211,106.3499984741211,102.0999984741211,103.44999694824219,87310642,0,0
2020-07-06,105.0,109.9000015258789,104.5,109.0,91970198,0,0
2020-07-07,109.80000305175781,112.5999984741211,108.05000305175781,109.05000305175781,85835716,0,0
2020-07-08,109.5,110.8499984741211,104.19999694824219,105.3499984741211,55887256,0,0
2020-07-09,106.30000305175781,108.94999694824219,104.6500015258789,106.94999694824219,54492650,0,0
2020-07-10,106.69999694824219,108.5999984741211,105.4000015258789,107.5999984741211,64694173,0,0
2020-07-13,108.8499984741211,112.0999984741211,106.8499984741211,108.0,81893001,0,0
2020-07-14,106.9000015258789,107.55000305175781,104.0999984741211,105.1500015258789,46924623,0,0
2020-07-15,106.80000305175781,106.80000305175781,102.5,103.19999694824219,49687046,0,0
2020-07-16,103.94999694824219,103.94999694824219,100.5999984741211,102.94999694824219,44333785,0,0
2020-07-17,103.6500015258789,106.94999694824219,103.30000305175781,106.4000015258789,42080157,0,0
2020-07-20,106.3499984741211,106.3499984741211,103.8499984741211,105.05000305175781,39786731,0,0
2020-07-21,106.0,109.69999694824219,105.5,108.44999694824219,66008143,0,0
2020-07-22,108.5,109.75,104.25,105.1500015258789,50735592,0,0
2020-07-23,105.44999694824219,106.44999694824219,104.69999694824219,106.05000305175781,30722413,0,0
2020-07-24,104.69999694824219,105.5,102.69999694824219,103.75,39363520,0,0
2020-07-27,104.0,104.5,101.30000305175781,101.69999694824219,29644533,0,0
2020-07-28,102.30000305175781,107.19999694824219,102.0,106.44999694824219,64271161,0,0
2020-07-29,108.0999984741211,108.75,104.8499984741211,105.75,44561639,0,0
2020-07-30,106.4000015258789,106.75,102.8499984741211,103.6500015258789,33378340,0,0
2020-07-31,104.0,105.4000015258789,102.30000305175781,104.6500015258789,33809018,0,0
2020-08-03,103.0,114.4000015258789,102.9000015258789,113.05000305175781,194765344,0,0
2020-08-04,112.94999694824219,115.0999984741211,110.80000305175781,111.44999694824219,95906477,0,0
2020-08-05,112.4000015258789,117.6500015258789,112.0,115.4000015258789,99371050,0,0
2020-08-06,116.19999694824219,117.69999694824219,115.5,116.80000305175781,60092530,0,0
2020-08-07,117.0,119.69999694824219,116.0,119.0999984741211,56489390,0,0
2020-08-10,119.94999694824219,124.69999694824219,119.69999694824219,123.8499984741211,71093810,0,0
2020-08-11,125.0,125.80000305175781,121.4000015258789,122.30000305175781,50224665,0,0
2020-08-12,121.0,126.4000015258789,120.5999984741211,125.3499984741211,50713617,0,0
2020-08-13,126.0999984741211,131.89999389648438,124.4000015258789,131.14999389648438,95489249,0,0
2020-08-14,131.14999389648438,132.64999389648438,123.69999694824219,124.5999984741211,75032834,0,0
2020-08-17,124.5,126.25,120.5999984741211,123.55000305175781,61154250,0,0
2020-08-18,124.0,127.5,123.5999984741211,125.5999984741211,62153763,0,0
2020-08-19,127.0,127.5999984741211,124.75,125.1500015258789,45128613,0,0
2020-08-20,123.44999694824219,125.6500015258789,121.0999984741211,121.69999694824219,43530882,0,0
2020-08-21,124.19999694824219,124.19999694824219,120.1500015258789,120.9000015258789,48650204,0,0
2020-08-24,122.0,123.0,120.80000305175781,121.19999694824219,31294253,0,0
2020-08-25,121.80000305175781,128.35000610351562,121.0999984741211,127.0999984741211,90263366,0,0
2020-08-26,130.5,139.0,128.35000610351562,137.89999389648438,197510376,0,0
2020-08-27,140.10000610351562,146.85000610351562,139.3000030517578,144.25,181380747,0,0
2020-08-28,144.14999389648438,146.1999969482422,140.5,142.8000030517578,95194825,0,0
2020-08-31,144.5,147.9499969482422,138.1999969482422,143.1999969482422,160564488,0,0
2020-09-01,143.39999389648438,145.14999389648438,140.39999389648438,143.8000030517578,58811543,0,0
2020-09-02,144.3000030517578,151.64999389648438,141.4499969482422,150.3000030517578,74947929,0,0
2020-09-03,151.60000610351562,155.1999969482422,149.5500030517578,151.85000610351562,110156350,0,0
2020-09-04,147.89999389648438,153.64999389648438,147.0,147.8000030517578,95560889,0,0
2020-09-07,150.0,152.0,148.0,149.39999389648438,82617101,0,0
2020-09-08,149.4499969482422,149.60000610351562,141.1999969482422,142.3000030517578,76286731,0,0
2020-09-09,141.0,141.75,135.6999969482422,140.10000610351562,105355010,0,0
2020-09-10,142.8000030517578,144.5,138.0,143.3000030517578,79606504,0,0
2020-09-11,143.10000610351562,146.8000030517578,141.64999389648438,144.3000030517578,65135339,0,0
2020-09-14,147.1999969482422,151.10000610351562,145.5,148.5500030517578,84505930,0,0
2020-09-15,149.39999389648438,149.39999389648438,146.5500030517578,148.39999389648438,42886817,0,0
2020-09-16,149.1999969482422,154.3000030517578,148.5500030517578,151.4499969482422,85056501,0,0
2020-09-17,150.8000030517578,151.0,146.1999969482422,147.64999389648438,48119360,0,0
2020-09-18,148.6999969482422,150.5,146.25,147.89999389648438,46270863,0,0
2020-09-21,147.75,147.75,135.5,137.4499969482422,64734493,0,0
2020-09-22,138.0,138.14999389648438,129.64999389648438,133.10000610351562,87298020,0,0
2020-09-23,135.5,136.6999969482422,127.9000015258789,131.39999389648438,74981613,0,0
2020-09-24,127.9000015258789,128.8000030517578,122.1500015258789,122.80000305175781,62420957,0,0
2020-09-25,123.69999694824219,128.35000610351562,123.0999984741211,127.25,65040759,0,0
2020-09-28,128.89999389648438,134.3000030517578,127.5,132.85000610351562,61830817,0,0
2020-09-29,134.9499969482422,136.0,130.6999969482422,131.6999969482422,63366932,0,0
2020-09-30,131.5500030517578,134.39999389648438,130.3000030517578,133.3000030517578,48859088,0,0
